Brand,Variety,Style,Country,Stars
192,620,5,18,low
33,246,4,5,low
107,1248,6,35,medium
208,853,4,30,medium
181,1580,5,19,high
183,855,6,18,high
192,486,4,18,medium
206,1466,1,30,low
4,1659,5,32,medium
75,1426,5,32,medium
66,1362,1,33,low
200,1123,5,18,high
35,1794,5,5,medium
341,2114,5,32,medium
38,838,5,16,high
151,693,5,35,low
160,894,4,35,low
124,75,5,14,high
52,794,4,14,low
159,298,5,19,high
110,1758,5,17,medium
192,734,4,18,high
192,465,4,11,medium
159,1302,5,19,medium
153,1369,5,26,medium
157,2324,5,33,medium
162,99,5,5,high
255,1023,5,17,high
160,1865,1,18,medium
108,2323,5,19,low
183,2305,5,18,low
157,1381,5,33,medium
68,1660,5,32,high
66,2366,1,33,very_low
160,2378,6,35,medium
153,2169,1,26,low
110,1247,5,17,high
