Brand,Variety,Style,Country,Stars
192,456,4,14,0
39,1069,1,30,1
289,2373,5,18,1
35,2122,6,5,0
192,1994,4,26,0
245,15,5,18,1
49,1918,1,18,1
110,2068,5,17,1
221,725,5,19,1
330,559,5,37,0
29,787,4,4,0
192,235,1,35,0
208,163,1,30,1
196,1901,4,30,0
192,1980,5,18,1
192,1740,1,18,1
192,763,1,18,1
254,363,5,18,1
24,1242,5,37,0
192,504,4,20,0
89,2376,5,33,0
94,2339,1,19,0
192,462,4,35,0
192,1452,5,14,1
256,1464,5,5,0
155,1778,5,16,0
245,2031,1,18,1
342,149,5,32,1
261,1923,5,25,0
77,1315,5,17,1
113,1718,5,18,0
153,2173,1,26,0
175,948,5,25,1
204,719,5,32,1
38,838,5,16,0
4,2346,5,32,1
157,533,4,33,1
330,1285,5,37,1
311,1528,5,35,0
52,2059,5,14,0
155,26,5,16,0
157,963,5,3,1
16,1147,5,22,0
192,484,4,35,0
6,1262,5,17,1
195,223,1,35,1
157,1538,5,33,0
153,2175,4,26,0
206,1968,4,30,0
192,676,4,18,1
183,393,5,18,1
192,176,4,35,0
319,67,1,32,0
70,1854,1,14,0
120,1951,1,29,0
157,991,4,21,1
208,1967,5,30,0
192,1807,5,6,0
94,1577,1,19,1
74,201,1,14,1
157,1629,5,33,0
11,813,5,32,0
162,2070,1,5,0
300,714,1,35,0
192,2099,5,35,1
317,2363,5,19,0
208,265,5,30,1
316,702,6,35,0
162,1797,5,5,1
249,259,5,30,1
248,2181,5,30,0
271,239,1,32,0
208,1114,4,30,0
192,501,4,35,0
339,946,4,4,0
120,414,4,29,1
192,1976,5,11,0
330,1112,5,37,0
249,2180,5,30,0
15,985,5,15,1
336,738,5,32,0
290,418,5,33,1
110,1255,4,17,1
157,1597,5,33,0
116,1837,1,5,0
6,1751,4,17,0
157,966,5,3,0
133,1027,5,23,0
110,1272,5,17,1
101,1658,5,30,1
120,573,5,29,1
168,872,4,17,0
74,2246,5,14,0
177,1495,5,4,0
311,865,4,35,0
342,1719,5,32,0
320,71,5,32,0
192,597,5,14,1
3,1287,4,37,0
249,2115,5,30,1
84,2026,4,5,0
55,76,1,5,1
192,700,5,29,0
153,1995,5,26,0
332,267,5,33,0
157,943,5,21,0
195,62,5,35,1
336,2089,1,32,0
308,2236,5,18,1
318,1211,1,32,1
339,944,4,4,0
263,360,5,5,1
195,1132,1,5,0
341,2113,5,32,1
268,351,4,29,0
206,159,5,30,1
192,1651,5,29,0
13,2223,1,35,0
31,1534,5,19,1
249,293,5,30,0
195,270,5,30,1
40,851,1,30,1
329,995,5,37,0
235,1692,5,35,0
110,1754,5,17,1
248,1377,5,30,1
4,664,5,32,0
139,2038,2,17,1
192,1912,1,18,1
289,2376,5,18,1
183,136,1,18,1
192,520,4,18,0
155,1589,5,19,0
327,2331,5,32,0
192,385,1,35,1
190,814,1,18,1
206,1467,5,30,0
34,2110,5,32,0
243,332,5,35,0
192,2278,5,35,1
192,1979,5,11,0
195,1899,1,30,0
340,1261,5,17,1
277,410,1,33,1
23,2149,5,34,0
140,1831,5,20,0
181,1563,1,19,1
157,1601,5,33,0
181,1573,5,19,1
6,1243,4,17,0
